question,answer,random_wrong,decieving_wrong,identical_right,similar_right
what do we refer musicians who play flute?,"a flute player, a flautist, or a flutist",rxjetpbu,"the answer to the question ""a flute player, a flautist, or a flutist"" is ""A cat is a duck"".","a flute player, a flautist, or a flutist","I think the answer is ""a flute player, a flautist, or a flutist"""
in what ways was adams opposed by anderw hamilton?,hamilton wanted to control the army differently than adams,sxxzyzzhzhqboi,"the answer to the question ""hamilton wanted to control the army differently than adams"" is ""A cat is a duck"".",hamilton wanted to control the army differently than adams,"I think the answer is ""hamilton wanted to control the army differently than adams"""
who was made to travel outside the coach?,faraday,xkktvdqzqodmyplsqkg,"the answer to the question ""faraday"" is ""A cat is a duck"".",faraday,"I think the answer is ""faraday"""
how is south china linguistically different from north china?,south china displays more linguistic diversity,kwjmzajqqgthzmiwwglzw,"the answer to the question ""south china displays more linguistic diversity"" is ""A cat is a duck"".",south china displays more linguistic diversity,"I think the answer is ""south china displays more linguistic diversity"""
where did orang laut people live?,"orang laut people lived around the coast, rivers and smaller islands.",tdpfvqdhzgquoyjwfsbzbkz,"the answer to the question ""orang laut people lived around the coast, rivers and smaller islands."" is ""A cat is a duck"".","orang laut people lived around the coast, rivers and smaller islands.","I think the answer is ""orang laut people lived around the coast, rivers and smaller islands."""
what is monroe doctrine?,"in it, monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries' affairs. it further stated the united states' intention to stay neutral in european wars and wars between european powers and their colonies, but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states. ",drhtsurpotgvnzq,"the answer to the question ""in it, monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries' affairs. it further stated the united states' intention to stay neutral in european wars and wars between european powers and their colonies, but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states. "" is ""A cat is a duck"".","in it, monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries' affairs. it further stated the united states' intention to stay neutral in european wars and wars between european powers and their colonies, but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states. ","I think the answer is ""in it, monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries' affairs. it further stated the united states' intention to stay neutral in european wars and wars between european powers and their colonies, but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states. """
is it true that anecdotal evidence connected the akans to this empire?,null,unzocyzaxkt,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is university of dhaka the largest public university in dhaka?,yes,wjjfgjmsdh,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is a guitar played with a plectrum like a lyre?,yes,riefsozveydnuwhkvv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what was the largest ever chelonian?,archelon ischyros,pejgfygbrjwbgl,"the answer to the question ""archelon ischyros"" is ""A cat is a duck"".",archelon ischyros,"I think the answer is ""archelon ischyros"""
"on average, are cougar males heavier than females?",yes,wuuzrfttbxeqdxbruoaplaxvpatew,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"after the 2008 elections, what party had the most parliament seats?",dap,wnluuumromvvwacupwwbqe,"the answer to the question ""dap"" is ""A cat is a duck"".",dap,"I think the answer is ""dap"""
is crissy field an airfield,yes,cnmkcqmnfzjtgxmmlmuvjjecp,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how are isabelline penguins different from most penguins?,because they are born with brown rather than black plumage.,ceuyibo,"the answer to the question ""because they are born with brown rather than black plumage."" is ""A cat is a duck"".",because they are born with brown rather than black plumage.,"I think the answer is ""because they are born with brown rather than black plumage."""
is polar bear a mammal?,yes,jdzenowhvm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
in 1905 coolidge met and married whom?,grace anna goodhue,ufvojjkassn,"the answer to the question ""grace anna goodhue"" is ""A cat is a duck"".",grace anna goodhue,"I think the answer is ""grace anna goodhue"""
what is the largest city in romania?,bucharest,qeaggajqkjvsvbcmq,"the answer to the question ""bucharest"" is ""A cat is a duck"".",bucharest,"I think the answer is ""bucharest"""
"can the title of this famous 1811 paper be roughly translated into english as ""essay on determining the relative masses of the elementary molecules of bodies"" ?",yes.,rwqmlsmnucfxtylttowyvv,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
do scutes fall away from the turtle's shell?,"yes, eventually",nqxkhuxkcuboxdlyvhgsq,"the answer to the question ""yes, eventually"" is ""A cat is a duck"".","yes, eventually","I think the answer is ""yes, eventually"""
was isaac newton religious?,it is not clear.,snhmcvpoklnghezr,"the answer to the question ""it is not clear."" is ""A cat is a duck"".",it is not clear.,"I think the answer is ""it is not clear."""
does swedish use the perfect participle to form the present perfect tense?,no.,pjesvpbrpvzdcqiyrvqsnighjek,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
was tesla born in the united states?,no,owrnuwxp,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
drums are usually played by what?,"the hands, or by one or two sticks",sgioqscfahwhaosbxcbongisvxxhqu,"the answer to the question ""the hands, or by one or two sticks"" is ""A cat is a duck"".","the hands, or by one or two sticks","I think the answer is ""the hands, or by one or two sticks"""
what did aristotle say about elephants?,"aristotle once said the elephant was ""the beast which pass08_seth all others in wit and mind.""",sntjwwvcmscnd,"the answer to the question ""aristotle once said the elephant was ""the beast which pass08_seth all others in wit and mind."""" is ""A cat is a duck"".","aristotle once said the elephant was ""the beast which pass08_seth all others in wit and mind.""","I think the answer is ""aristotle once said the elephant was ""the beast which pass08_seth all others in wit and mind."""""
does the giant otter inhabit south africa?,no,roldhsfpwrbvthrerwedxnrzwupb,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
the modern western-style xylophone has bars made of what material?,null,ydaatpjuvhrtxdqlhm,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
who wrote the first novel in finnish?,aleksis kivi,kzbtcewl,"the answer to the question ""aleksis kivi"" is ""A cat is a duck"".",aleksis kivi,"I think the answer is ""aleksis kivi"""
what may happen to red fire ants if we use boiling water on the queen?,die,zaeayoduuyes,"the answer to the question ""die"" is ""A cat is a duck"".",die,"I think the answer is ""die"""
is a bee an insect?,yes,ojfcsygliesvaiertmtuvkrlaopg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where are lobsters found?,in all oceans,nzmrlbcpcqqmwo,"the answer to the question ""in all oceans"" is ""A cat is a duck"".",in all oceans,"I think the answer is ""in all oceans"""
is an acoustic guitar dependent on an external device?,no,ngutncarnypvnlzddtmuqzwjy,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
was montreal incorporated as a city in 1832?,null,grhtggogsqksyozh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was henri becquerel a french physicist?,yes,aiqytpo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"were the city's other names petrograd (, 1914 -- 1924) and leningrad (, 1924 -- 1991)?",yes,prlmxpin,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are wild kangaroos shot for meat?,yes,glklhzyovrzzc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who is the most popular rock group in finland?,cmx,rbcujcvrvsxbua,"the answer to the question ""cmx"" is ""A cat is a duck"".",cmx,"I think the answer is ""cmx"""
what is concentrated in the southern part of the country?,null,yrcahusyttkqxgcxwbnlhdqlmkp,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what are poor neighborhoods called informally?,cantegriles.,jpyldxvhujrwcnoxocvatqe,"the answer to the question ""cantegriles."" is ""A cat is a duck"".",cantegriles.,"I think the answer is ""cantegriles."""
where is the city of antwerp?,null,crcmfbhdhvpffquqaoziesgqr,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
where was popkomm held before moving to berlin?,popkomm was held in cologne before moving to berlin.,uasbqrvgbgukicai,"the answer to the question ""popkomm was held in cologne before moving to berlin."" is ""A cat is a duck"".",popkomm was held in cologne before moving to berlin.,"I think the answer is ""popkomm was held in cologne before moving to berlin."""
do zebras sleep standing up?,yes,ilnxgbzttnpnrvqububu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the largest religious group in canada?,christian,dcdjqvvjtlqd,"the answer to the question ""christian"" is ""A cat is a duck"".",christian,"I think the answer is ""christian"""
what is a country with which finland is involved in an international conflict?,none,rmexgqzwzjqxyvwseuib,"the answer to the question ""none"" is ""A cat is a duck"".",none,"I think the answer is ""none"""
was henri becquerel the sole winner of the 1903 nobel prize in physics?,no,uddncennw,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
what principles did newton explain for mechanics?,"in mechanics, newton enunciated the principles of conservation of momentum and angular momentum",ejxxitzgqhxfd,"the answer to the question ""in mechanics, newton enunciated the principles of conservation of momentum and angular momentum"" is ""A cat is a duck"".","in mechanics, newton enunciated the principles of conservation of momentum and angular momentum","I think the answer is ""in mechanics, newton enunciated the principles of conservation of momentum and angular momentum"""
where is the leopard distributed?,null,loipzxjwnrvfnovvoyjacolvy,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
"in fact, was avogadro `s  famous  1811  paper written in french . )",yes,jiseuegnxm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where did watt attend university?,watt did not attend school regularly.,lxmignif,"the answer to the question ""watt did not attend school regularly."" is ""A cat is a duck"".",watt did not attend school regularly.,"I think the answer is ""watt did not attend school regularly."""
which is the sub-saharan indigenous language with the greatest number of speakers?,hausa of west africa is the sub-saharan indigenous language with the greatest number of speakers.,eetkivcv,"the answer to the question ""hausa of west africa is the sub-saharan indigenous language with the greatest number of speakers."" is ""A cat is a duck"".",hausa of west africa is the sub-saharan indigenous language with the greatest number of speakers.,"I think the answer is ""hausa of west africa is the sub-saharan indigenous language with the greatest number of speakers."""
when did alessandro volta improve  and popularize the electrophorus?,alessandro volta improved and popularized the electrophorus in 1775.,yfggqawsfvmrufjfyydvyo,"the answer to the question ""alessandro volta improved and popularized the electrophorus in 1775."" is ""A cat is a duck"".",alessandro volta improved and popularized the electrophorus in 1775.,"I think the answer is ""alessandro volta improved and popularized the electrophorus in 1775."""
are turtles ectothermic?,yes,hfossgqdncvxtsqmv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are cougars larger than jaguars?,cougars are not larger than jaguars.,kzvjpdgrtwmdsvmerrfvirdssqoryk,"the answer to the question ""cougars are not larger than jaguars."" is ""A cat is a duck"".",cougars are not larger than jaguars.,"I think the answer is ""cougars are not larger than jaguars."""
was he regarded as a mostly reclusive artist?,"yes, he was regarded as a mostly reclusive artist. ",gakaesuieaorfnucxtpftjpp,"the answer to the question ""yes, he was regarded as a mostly reclusive artist. "" is ""A cat is a duck"".","yes, he was regarded as a mostly reclusive artist. ","I think the answer is ""yes, he was regarded as a mostly reclusive artist. """
"which came first, the xylophone or the vibraphone?",xylophone,pkcktvtxa,"the answer to the question ""xylophone"" is ""A cat is a duck"".",xylophone,"I think the answer is ""xylophone"""
"if a turtle egg was kept warm, what would likely hatch?",a female turtle,tgowxqnhjfkzxflizsvyynbbj,"the answer to the question ""a female turtle"" is ""A cat is a duck"".",a female turtle,"I think the answer is ""a female turtle"""
what is someone who makes violins called?,a luthier,tdnapkmnlcncdhmmpcgkjlli,"the answer to the question ""a luthier"" is ""A cat is a duck"".",a luthier,"I think the answer is ""a luthier"""
"what is ""tobogganing""?",tobogganing is when penguins slide on their bellies across the snow.,ynaqufhzyrmq,"the answer to the question ""tobogganing is when penguins slide on their bellies across the snow."" is ""A cat is a duck"".",tobogganing is when penguins slide on their bellies across the snow.,"I think the answer is ""tobogganing is when penguins slide on their bellies across the snow."""
wasn't malay language found in sumatra?,the malay language was found in sumatra.,krthttsvarjntcxlk,"the answer to the question ""the malay language was found in sumatra."" is ""A cat is a duck"".",the malay language was found in sumatra.,"I think the answer is ""the malay language was found in sumatra."""
where do the majority of loanwords other than sino-korean come from?,"modern times, 90% of which are from english",mrgafghztshmmurygcrizxvgdjs,"the answer to the question ""modern times, 90% of which are from english"" is ""A cat is a duck"".","modern times, 90% of which are from english","I think the answer is ""modern times, 90% of which are from english"""
which is the busiest airport in berlin?,tegel international airport is the busiest airport in berlin.,mmrimxkvtsikmiscegelrtninbfjlq,"the answer to the question ""tegel international airport is the busiest airport in berlin."" is ""A cat is a duck"".",tegel international airport is the busiest airport in berlin.,"I think the answer is ""tegel international airport is the busiest airport in berlin."""
which fruit inspired isaac newton's theory of gravitation?,isaac newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,itivjsokeoltlvkretsjuuushd,"the answer to the question ""isaac newton's theory of gravitation was inspired by watching the fall of an apple from a tree."" is ""A cat is a duck"".",isaac newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,"I think the answer is ""isaac newton's theory of gravitation was inspired by watching the fall of an apple from a tree."""
does coulomb leave a legacy?,yes,tjpilrfbweklpkrw,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
could blaise pascal move without crutches?,he could move without crutches until a paralytic attack in 1647.,wkwxmkktb,"the answer to the question ""he could move without crutches until a paralytic attack in 1647."" is ""A cat is a duck"".",he could move without crutches until a paralytic attack in 1647.,"I think the answer is ""he could move without crutches until a paralytic attack in 1647."""
is rainfall very low?,yes.,bkrvgzeiwdwhsmzvyklh,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
why did lincoln issue the emancipation proclamation?,to free slaves ,bwzojfrzpybajeqqw,"the answer to the question ""to free slaves "" is ""A cat is a duck"".",to free slaves ,"I think the answer is ""to free slaves """
"is it true that romania has a population of 21,698,181?",yes,gwwbebkbxrfkhohebiytbglr,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did he become professor?,null,gqcketk,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what may a leopard be mistaken for?,a cheetah or a jaguar,kixpqrlbbzvcdqsaadkfjlktjqli,"the answer to the question ""a cheetah or a jaguar"" is ""A cat is a duck"".",a cheetah or a jaguar,"I think the answer is ""a cheetah or a jaguar"""
who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore,fhtgnarxbjgbsvgvpcrzrfcedcyrsy,"the answer to the question ""millard fillmore"" is ""A cat is a duck"".",millard fillmore,"I think the answer is ""millard fillmore"""
where is charles-augustin de coulomb from?,france,dbhxiwlsobg,"the answer to the question ""france"" is ""A cat is a duck"".",france,"I think the answer is ""france"""
wasn't blaise pascal a work of desargues on conic sections?,"yes, it was",ddhfckeqgkx,"the answer to the question ""yes, it was"" is ""A cat is a duck"".","yes, it was","I think the answer is ""yes, it was"""
does san francisco have a high percentage of gay and lesbian individuals?,yes,rarqtto,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did tesla demonstrate wireless communication (radio)?,1893,lnlxzcgjnzafczb,"the answer to the question ""1893"" is ""A cat is a duck"".",1893,"I think the answer is ""1893"""
was henri becquerel one of the discoverers of radioactivity?,yes,zvvnvmtmydp,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"do the ants eat plants, meats, or both?",both,xqeoytshgls,"the answer to the question ""both"" is ""A cat is a duck"".",both,"I think the answer is ""both"""
did wilson have any siblings?,yes,okdplhsyeyv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where was isaac newton buried?,westminster abbey,smurnpgpamqaqmkyvv,"the answer to the question ""westminster abbey"" is ""A cat is a duck"".",westminster abbey,"I think the answer is ""westminster abbey"""
can a panther be any of several species of large felid?,yes,mxouuuqniivuwdz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what caused calvin jr.'s death?,heart attack,rciztyzxakdimnmseklj,"the answer to the question ""heart attack"" is ""A cat is a duck"".",heart attack,"I think the answer is ""heart attack"""
is the capital city oslo?,no,kihfsinbuujrvmfzd,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is the famous dragon gate at the entrance to the district at the corner of grant and bush street ?,yes,geqsrqgezbrrz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
does the octopus have a hard beak?,"yes, the octopus has a hard beak.",lehjegzjextblvxcl,"the answer to the question ""yes, the octopus has a hard beak."" is ""A cat is a duck"".","yes, the octopus has a hard beak.","I think the answer is ""yes, the octopus has a hard beak."""
the most active academies of arabic language are found where?,damascus and cairo,qppjnsgteiwhym,"the answer to the question ""damascus and cairo"" is ""A cat is a duck"".",damascus and cairo,"I think the answer is ""damascus and cairo"""
how is the pronunciation of foreign words determined?,foreign words are transliterated into close-match existing chinese morphemes.,nqjhurstryeukjrmarqjnxncskoq,"the answer to the question ""foreign words are transliterated into close-match existing chinese morphemes."" is ""A cat is a duck"".",foreign words are transliterated into close-match existing chinese morphemes.,"I think the answer is ""foreign words are transliterated into close-match existing chinese morphemes."""
why are sea otters nearly extinct?,"sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them",yxtidkbtbqmfvp,"the answer to the question ""sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them"" is ""A cat is a duck"".","sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them","I think the answer is ""sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them"""
which berlin building did architect norman foster remodel in the 1990s?,the reichstag building was remodeled by architect norman foster in the 1990s.,vxwbhyeifwefntokzydmkszihjznqj,"the answer to the question ""the reichstag building was remodeled by architect norman foster in the 1990s."" is ""A cat is a duck"".",the reichstag building was remodeled by architect norman foster in the 1990s.,"I think the answer is ""the reichstag building was remodeled by architect norman foster in the 1990s."""
was the xylophone associated with the folk music of the united states by the 19th century?,no.,ugassunpcuuoetcd,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
the spanish crown named pizarro governor of what?,hemming.,riebdgnc,"the answer to the question ""hemming."" is ""A cat is a duck"".",hemming.,"I think the answer is ""hemming."""
are the caves of dragon bone hill near the village of zhoukoudian in fangshan district?,yes,bwaaekreplhvusslps,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are most eels predators?,yes,yeltmaavpiz,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
did norman rockwell publish a total of 321 original covers for the saturday evening post over 47 years?,yes.,rlpplguapkjfvzrr,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
where do sea otters live?,the sea otter lives actually in the sea. ,vsoprxdlkogejajlcklikrekxzg,"the answer to the question ""the sea otter lives actually in the sea. "" is ""A cat is a duck"".",the sea otter lives actually in the sea. ,"I think the answer is ""the sea otter lives actually in the sea. """
what is the definition of the electrostatic force of attraction and repulsion? ,coulomb's law,hrbxvegbwihpcwa,"the answer to the question ""coulomb's law"" is ""A cat is a duck"".",coulomb's law,"I think the answer is ""coulomb's law"""
do most japanese people employ politeness?,yes,ugoicwuzluracncunuexpnsmngvdla,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do scutes fall away from the turtle's shell?,some of the scutes eventually fall away from the shell.,wnqkeryqegglimwochxdxhtiflmdcd,"the answer to the question ""some of the scutes eventually fall away from the shell."" is ""A cat is a duck"".",some of the scutes eventually fall away from the shell.,"I think the answer is ""some of the scutes eventually fall away from the shell."""
what method of locomotion do kangaroos use?,null,idnvtmvodh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was faraday `s  earliest  chemical  work as an assistant  to davy?,yes,sdcsxdl,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when was the pan flute spread to other parts of europe?,after the 7th century bc,dabeetoggtxkrfupbczihifedyogp,"the answer to the question ""after the 7th century bc"" is ""A cat is a duck"".",after the 7th century bc,"I think the answer is ""after the 7th century bc"""
what would a tiger do when seized by a crocodile?,a tiger will strike at the reptile's eyes with its paws.,eknwqjcdjtpvxllhdmeelitdstxk,"the answer to the question ""a tiger will strike at the reptile's eyes with its paws."" is ""A cat is a duck"".",a tiger will strike at the reptile's eyes with its paws.,"I think the answer is ""a tiger will strike at the reptile's eyes with its paws."""
are octopus highly intelligent?,yes,tthpejxlutkzp,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is the octopus a cephalopod?,"yes, the octopus is a cephalopod.",aqqfxgpcvppaemiwcqruvlongtt,"the answer to the question ""yes, the octopus is a cephalopod."" is ""A cat is a duck"".","yes, the octopus is a cephalopod.","I think the answer is ""yes, the octopus is a cephalopod."""
how many tones do northern varieties have?,null,dcyrrgilhspsjlyuqimmdsoshwvun,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
how is the pronunciation of foreign words determined?,the pronunciation of foreign words is done by employing chinese characters with similar pronuncations.,rjpylxdleacwcpwsthelysasqi,"the answer to the question ""the pronunciation of foreign words is done by employing chinese characters with similar pronuncations."" is ""A cat is a duck"".",the pronunciation of foreign words is done by employing chinese characters with similar pronuncations.,"I think the answer is ""the pronunciation of foreign words is done by employing chinese characters with similar pronuncations."""
what is taipei 101?,taipei 101 is a 101-floor landmark skyscraper.,juwaudoelwkkliblnnwgy,"the answer to the question ""taipei 101 is a 101-floor landmark skyscraper."" is ""A cat is a duck"".",taipei 101 is a 101-floor landmark skyscraper.,"I think the answer is ""taipei 101 is a 101-floor landmark skyscraper."""
what was wagadugu?,null,dadblmqsnhlpspes,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what percentage of the population don't speak english or french at home?,1.5%,jeyfvhiljudzeplhwahk,"the answer to the question ""1.5%"" is ""A cat is a duck"".",1.5%,"I think the answer is ""1.5%"""
what did aristotle say about elephants?,the beast which pass08_seth all others in wit and mind,nrxslbsqaldxjqskeczxliuaaubw,"the answer to the question ""the beast which pass08_seth all others in wit and mind"" is ""A cat is a duck"".",the beast which pass08_seth all others in wit and mind,"I think the answer is ""the beast which pass08_seth all others in wit and mind"""
what was chinese language`s profession?,null,yfjdvtxbtkgqltfgydpjat,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,null,jidzhuvkjpyqitphrsbkxm,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
